"id";"title";"authors";"contributors";"subjectsPOR";"institutions";"types";"accesslevel";"publicationDates";"urls";"formats";"languages";
"UFBA-2_bc26daa60e5df9f673f3bd17acf7f938";"MÃºsica e inclusÃ£o: necessidades educacionais especiais ou necessidades profissionais especiais?";"primary[Souza, Catarina Shin Lima de(NA)]";"advisor[MagalhÃ£es, Luiz CÃ©sar Marques(NA)]";"Music education|deficiÃªncia visual|inclusÃ£o educacional|educaÃ§Ã£o especial|educaÃ§Ã£o musical|mÃºsica|special education|inclusive education|visual impairment";"UFBA";"masterThesis";"openAccess";"2010";"http://www.repositorio.ufba.br/ri/handle/ri/9148";"masterThesis";"por"
"UECE-0_c1d171e5cae3f8a0c8ec2033b957b67f";"A Contribuicao do Uso do Computador com Alunos com Necessidades Educativas Especiais...";"primary[Rodrigues, Ana Cristina de Oliveira(NA)]";"";"Escola Publica Estadual|Informática";"UECE";"masterThesis";"openAccess";"2002";"https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=30761";"masterThesis";"por"
"UNICAMP-30_e63d88757f06c092dffdfbe1076cb9ca";"Capoeira para crianças com necessidades educativas especiais : um estudo de caso";"primary[Santos, Sandro Rodrigues dos, 1973-(NA)]";"";"Crianças - Desenvolvimento|Inclusão social|Educação especial|Atividade física|Deficiência visual|Childhood development|Social inclusion|Education, special|Motor activity|Visual disability";"UNICAMP";"masterThesis";"openAccess";"2010";"https://hdl.handle.net/20.500.12733/1611275";"masterThesis";"por"
"P_RS_0c04baa285a57589ed92af078b3f6b86";"Sentidos produzidos na doc?ncia com alunos com necessidades especiais";"primary[Cintra, Lisiene Maria Carbonell(http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4334286J6)]";"advisor[Rozek, Marlene(NA)]";"EDUCA??O|EDUCA??O INCLUSIVA|ENSINO FUNDAMENTAL|ESCOLAS P?BLICAS";"PUC_RS";"masterThesis";"openAccess";"2014";"http://tede2.pucrs.br/tede2/handle/tede/3824";"masterThesis";"por"
"UECE-0_27588c3ac688f7d24b3a01374794c383";"Estrategia com Base Comunitaria para Atencao Aos Escolares com Necessidades Educativas Especiais ...";"primary[Vieira, Francisca Nilca(NA)]";"";"Deficientes auditivos|Educação especial";"UECE";"masterThesis";"openAccess";"2002";"https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=24647";"masterThesis";"por"
"SCAR_f46917c47c8b092a0820f5cace132795";"Vulnerabilidade e resiliência: fatores de risco e proteção em escolares com necessidades educativas especiais";"primary[Murata, Marília Pinto Ferreira(http://lattes.cnpq.br/6232514920173182)]";"advisor[Pedrazzani, Elisete Silva(http://genos.cnpq.br:12010/dwlattes/owa/prc_imp_cv_int?f_cod=K4780259J2)]";"Educação Especial|Resiliência|Fatores de risco e proteção|Necessidades especiais|Inclusão escolar|Necessidades educativas especiais";"UFSCAR";"doctoralThesis";"openAccess";"2013";"https://repositorio.ufscar.br/handle/ufscar/2907";"doctoralThesis";"por"
"SCAR_8c1bfe44e810c42ff2746e3ce00d212e";"Importância das habilidades sociais educativas na perspectiva de professores de alunos sem ou com necessidades educacionais especiais";"primary[Tucci, Carlos Henrique da Costa(http://lattes.cnpq.br/2801755494219289)]";"advisor[Del Prette, Almir(http://lattes.cnpq.br/2191226494887247)]";"Educação especial|Inclusão escolar|Escolas particulares";"UFSCAR";"masterThesis";"openAccess";"2011";"https://repositorio.ufscar.br/handle/ufscar/3080";"masterThesis";"por"
"UEPG_89db62697f3b402e97e1057d9340b381";"A INCLUSÃO DE PESSOAS COM DEFICIÊNCIA E NECESSIDADES EDUCATIVAS ESPECIAIS NO ENSINO REGULAR: VOZES E SIGNIFICADOS";"primary[Farias, Elizabeth Regina Streisky de(http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4730266U7)]";"advisor[Cruz, Gilmar de Carvalho(http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4795902D1)]|referee[Shimazaki, Elsa Midori(http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4700089T0)|Schneckenberg, Marisa(http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4737096Z5)|Martiniak, Vera Lúcia(http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4227358Z3)|Finck, Silvia Christina Madrid(NA)]";"inclusão|escolarização de pessoas com deficiência|cotidiano escolar";"UEPG";"doctoralThesis";"openAccess";"2017";"http://tede2.uepg.br/jspui/handle/prefix/1236";"doctoralThesis";"por"
"UFPA_38b375d15a00af0f3705a4968d8e7e91";"Equivalência de estímulos após a formação de classes seqüênciais com portadores de necessidades educativas especiais";"primary[SAMPAIO, Maria Elizângela Carvalho(http://lattes.cnpq.br/5544293933316469)]";"advisor[ASSIS, Grauben José Alves de(http://lattes.cnpq.br/0722706223558223)]";"Psicologia experimental|Equivalência de estímulos|Estímulo/resposta|Relações entre estímulos|Educação especial|Portadores de necessidades especiais|Belém - PA|Pará - Estado|Amazônia brasileira";"UFPA";"masterThesis";"openAccess";"2002";"http://repositorio.ufpa.br/jspui/handle/2011/5358";"masterThesis";"por"
"SCAR_977e9371942c79ad06b37d82ffe26333";"Vulnerabilidade e resiliência: fatores de risco e proteção em escolares com necessidades educativas especiais";"primary[Murata, Marília Pinto Ferreira(http://lattes.cnpq.br/6232514920173182)]";"advisor[Pedrazzani, Elisete Silva(http://genos.cnpq.br:12010/dwlattes/owa/prc_imp_cv_int?f_cod=K4780259J2)]";"Educação Especial|Resiliência|Fatores de risco e proteção|Necessidades especiais|Inclusão escolar|Necessidades educativas especiais";"UFSCAR";"doctoralThesis";"openAccess";"2013";"https://repositorio.ufscar.br/handle/ufscar/2907";"doctoralThesis";"por"
"SCAR_50ee10ed5c07a589f7b55de3a225e2d5";"Importância das habilidades sociais educativas na perspectiva de professores de alunos sem ou com necessidades educacionais especiais";"primary[Tucci, Carlos Henrique da Costa(http://lattes.cnpq.br/2801755494219289)]";"advisor[Del Prette, Almir(http://lattes.cnpq.br/2191226494887247)]";"Educação especial|Inclusão escolar|Escolas particulares";"UFSCAR";"masterThesis";"openAccess";"2011";"https://repositorio.ufscar.br/handle/ufscar/3080";"masterThesis";"por"
"UFEI_6045b62cdba9a921424bb9f7b4e359fc";"Desenvolvimento de jogos computacionais como objetos de aprendizagem para pessoas com necessidades educativas especiais.";"primary[SOUZA, Fabrícia Ferreira de(NA)]";"";"";"UNIFEI";"masterThesis";"openAccess";"2010";"https://repositorio.unifei.edu.br/jspui/handle/123456789/1466";"masterThesis";"por"
"USP_abf00758fd65e07480d5a6739cb52af9";"Uma análise das intervenções em educação ambiental numa instituição de alunos com necessidades educativas especiais.";"primary[Luiz Fernando Correira de Oliveira(NA)]";"advisor[Maria Luisa Sprovieri Ribeiro(NA)]|referee[Roseli Cecilia Rocha de Carvalho Baumel(NA)|Maria Cecilia Focesi Pelicioni(NA)]";"";"USP";"masterThesis";"openAccess";"2007";"https://doi.org/10.11606/D.48.2007.tde-20042007-110204";"masterThesis";"por"
"USP_728206fb500007288f95367e43ca4d0f";"Problemas de comportamento de crianças com necessidades educacionais especiais, saúde e práticas educativas do cuidador";"primary[Deisy Emerich Geraldo(NA)]";"advisor[Edwiges Ferreira de Mattos Silvares(NA)]|coadvisor[Maria Cristina Triguero Veloz Teixeira(NA)]|referee[Francisco Baptista Assumpcao Junior(NA)|Cleonice Alves Bosa(NA)|Francisco Lotufo Neto(NA)|Tatiana Pontrelli Mecca(NA)]";"";"USP";"doctoralThesis";"openAccess";"2017";"https://doi.org/10.11606/T.47.2018.tde-05022018-155845";"doctoralThesis";"por"
